"","behavior","burst","odba","mean.dxy","mean.dyz","mean.dxz","sd.dxy","sd.dyz","sd.dxz","cov.dxy","cov.dxz","cov.dyz","cor.dxy","cor.dxz","cor.dyz","sk.dx","ku.dx","sk.dy","ku.dy","sk.dz","ku.dz","max.dx","min.dx","amp.dx","max.dy","min.dy","amp.dy","max.dz","min.dz","amp.dz"
"3841","A_FLIGHT",33,20.9073740658454,-0.0673033829170828,0.345264947788333,0.277961564871251,14.9168087192113,15.708591436403,12.9256260276134,-35.8953069147604,-4.50945259972783,-41.2229194317905,-0.476727483921389,-0.0572747953084579,-0.50225814946167,-0.408145504921373,2.40249195031632,-0.817580144253631,2.55681835855668,-0.634617553039311,2.5274098385012,18.0655794742,-17.014723782,35.0803032562,11.3145271378,-18.8112169124,30.1257440502,13.8567076868,-20.3441714946,34.2008791814
"3961","A_FLIGHT",34,18.8799861327667,0.0953036382791665,0.108020454619585,0.203324092898752,11.350423285174,12.7167278752883,13.1590712337109,-19.2822009981779,-26.9130480305355,-16.5264793904398,-0.429521642444065,-0.476379690770445,-0.263715307282151,-0.585144478765159,1.69574764862522,-0.657755633877019,1.98047586815979,-0.627308721318679,2.42273903571169,8.3907379414,-10.7322905082,19.1230284496,8.52623287,-15.0020026136,23.5282354836,12.19250548775,-18.8394066492,31.03191213695
"4081","A_FLIGHT",35,16.869382754295,0.00963988612333355,0.0915238084962492,0.101163694619582,12.6335609668047,12.4013281716256,10.1684833855168,-23.5463191387838,-4.44174398998121,-24.9245502357558,-0.420025892370851,-0.0943794938592351,-0.486933619293759,-0.148367680689834,2.4766598051001,-0.192217469434722,2.44234015973232,-0.0884184155858604,2.73756527719529,14.5515018168,-13.4509098028,28.0024116196,15.129263724,-14.8557003418,29.9849640658,13.8412752502,-13.0786048318,26.919880082
"4201","A_FLIGHT",36,16.7847475992883,0.012276658518331,0.0387548936941676,0.0510315522124988,11.8753681226627,12.4369765911991,11.026623372101,-23.0474374767605,-11.4182091701555,-22.5569283553616,-0.488751490307597,-0.233837127333171,-0.412006595918271,-0.626837702969126,2.9720227817892,-0.654994209373778,2.30806571230004,-0.575316063695611,2.75492467832929,12.9665739776,-14.7613960394,27.727970017,12.3537136206,-15.7157388598,28.0694524804,14.2633979025,-15.7789336506,30.0423315531
"4321","A_FLIGHT",37,21.2002373909717,0.17485455585,-0.124984315480834,0.0498702403691665,16.3205372224488,15.3429002276355,13.1417401296572,-47.2793998130621,-0.377420239329734,-40.8512274129085,-0.55352820391981,-0.00441439271629303,-0.531563824356314,-0.828570233749973,2.78566651196212,-0.809528034355503,2.98504912419186,-0.760726630882979,2.70478984306849,14.5528724436,-22.1620474858,36.7149199294,14.5752608546,-22.1512969508,36.7265578054,12.4160070202,-22.2705028846,34.6865099048
"4441","A_FLIGHT",38,20.17265743736,0.0174124158883327,0.0494382686070824,0.0668506844954152,14.3595593509011,15.5928817980185,12.7931456867866,-32.0983985436821,-4.9209861151514,-42.3211976159478,-0.452334643737714,-0.0643537074804679,-0.535528252838199,-0.868157459189167,2.9328879798622,-0.912382754113797,3.2109481614064,-0.883159113182182,2.66342418563316,11.080535624,-20.3151610468,31.3956966708,12.2325050146,-21.2419799948,33.4744850094,11.621225999,-21.4152083426,33.0364343416
"4561","A_FLIGHT",39,21.4325063686425,-0.0463929774791687,0.179539699034168,0.133146721554999,16.2346423982082,15.3725566561799,12.8198441387011,-42.3289297560336,3.29768447960245,-41.7311279860542,-0.475635964820491,0.0390381278977866,-0.546770965009439,-0.924452451959565,2.9282122303942,-0.912299267446319,2.5517841347398,-0.720431726903417,2.67782888006229,15.6146677564,-23.2850846822,38.8997524386,11.2555165392,-18.4962705724,29.7517871116,12.46500169,-18.3171351752,30.7821368652
"4681","A_FLIGHT",40,23.8823555679133,-0.0895371588708333,0.104360213391249,0.0148230545204155,16.9229178772947,18.6337564372734,13.5990553424026,-38.7704662843416,-20.4519652429485,-42.8458942588251,-0.449100443218288,-0.305138741651732,-0.338212897726003,-0.56837296126658,1.56151288347007,-0.932582541017279,5.05860435360599,-0.515886845112559,2.06882793041219,6.9922944852,-9.8343703746,16.8266648598,31.997527641,-40.5800827812,72.5776104222,15.5222183578,-20.3550535188,35.8772718766
"4801","A_FLIGHT",41,24.4176545545525,0.140875228589167,0.17898379418125,0.319859022770417,15.804999352129,15.9985227492969,15.7849288136495,-34.5822763529226,-22.3876554378633,-24.5530587405415,-0.382935476074842,-0.220893652850062,-0.238984786953057,-0.821167097987203,3.12062654227137,-0.490166644705346,2.15362648917217,-0.716957617475951,2.27994414670877,12.5536372616,-27.48972548,40.0433627416,13.4933227794,-18.5150883652,32.0084111446,15.1578723608,-22.9407701808,38.0986425416
"4921","A_FLIGHT",42,19.2512907515671,-0.0069819941541674,0.191973410301668,0.184991416147501,12.3724523004606,12.9455511132898,13.3142205651346,-22.990665251463,-18.9810503150274,-22.1307221473718,-0.434207007097388,-0.274376414009038,-0.371803510906789,-0.81006117818411,2.71955052729998,-0.701113431458321,1.58100264783431,-0.86408325670291,2.59079870802079,11.3989880338,-16.6385547348,28.0375427686,6.262011928,-10.5549585536,16.8169704816,12.0462826578,-19.5916276738,31.6379103316
"5041","A_FLIGHT",43,20.4955253238183,-0.055391758365,0.0708457375937483,0.0154539792287479,12.1795995529042,14.6802251279011,13.7945500172501,-18.562384443868,-28.9494796473023,-31.4470262361597,-0.339461890396768,-0.460421767832395,-0.416133462176872,-0.901206092116509,2.62347620972295,-0.709635269427647,1.56918162530977,-0.906394246508868,2.58570777563442,7.4611828214,-18.3070773992,25.7682602206,7.824441627,-12.126265737,19.950707364,12.6497957118,-20.1358811882,32.7856769
