1 - min(mdcv$evaluation_log$val_mlogloss),booster,objective,max_depth,eta,subsample,colsample_bytree,min_child_weight
0.654121,gbtree,multi:softprob,4,0.020217525858897717,0.9598602502839639,0.6565444517880678,7
0.6874819999999999,gbtree,multi:softprob,9,0.28124551587272434,0.8975677042268216,0.6623705936595797,10
0.704752,gbtree,multi:softprob,6,0.04995001272065565,0.9275294669205323,0.8809483195655048,2
0.7048030000000001,gbtree,multi:softprob,7,0.21848099418682976,0.7294584533665329,0.6539506351575255,2
0.6614439999999999,gbtree,multi:softprob,8,0.022921793749555944,0.7844073144719004,0.8575253373011946,9
0.69291,gbtree,multi:softprob,5,0.08791547152679413,0.8580981279024854,0.7803030966781079,5
0.691444,gbtree,multi:softprob,6,0.14138001698767766,0.8271541103720664,0.8724260427989066,1
0.679759,gbtree,multi:softprob,7,0.15311618778854608,0.9314212200464681,0.6754993906244635,5
0.6773560000000001,gbtree,multi:softprob,5,0.04728423977037892,0.825780431064777,0.9003206844441592,10
0.685862,gbtree,multi:softprob,3,0.13714066680287942,0.9125489280093462,0.7214447191916407,6
0.680983,gbtree,multi:softprob,9,0.08958005672087892,0.998255607765168,0.7850313334725797,0
0.703315,gbtree,multi:softprob,8,0.22199903967091814,0.7634711340535432,0.6423487840220332,3
0.681828,gbtree,multi:softprob,9,0.26618507312145084,0.7232868086080998,0.6174993915483356,4
0.696531,gbtree,multi:softprob,6,0.16492544042877852,0.9908996053272858,0.872896812018007,1
0.681494,gbtree,multi:softprob,4,0.029151844882871952,0.7367527327965945,0.661264031752944,6
0.689476,gbtree,multi:softprob,8,0.17081659538671373,0.81493519928772,0.9910968153737485,8
0.6851670000000001,gbtree,multi:softprob,3,0.27458603541133925,0.8674533596029506,0.6162897787056864,7
0.700053,gbtree,multi:softprob,7,0.04454720547888428,0.9600578682497143,0.7407038168981671,7
0.688537,gbtree,multi:softprob,10,0.19171941762790085,0.8030115725239738,0.917772969417274,7
0.6882280000000001,gbtree,multi:softprob,7,0.2972574468888342,0.7020872317720204,0.8803550636395812,10
0.6933210000000001,gbtree,multi:softprob,3,0.28224932168377564,0.8666989207733422,0.8108043146319688,0
0.693346,gbtree,multi:softprob,6,0.0870278830709867,0.9722824159543961,0.9687625085003674,5
0.696418,gbtree,multi:softprob,6,0.07529369353549555,0.9507577815791592,0.6293483237735927,4
0.663276,gbtree,multi:softprob,3,0.2895977013441734,0.7511652332032099,0.6582686260342597,9
0.694334,gbtree,multi:softprob,7,0.20919496386079117,0.9833835100056604,0.9291878394782543,4
0.686626,gbtree,multi:softprob,7,0.15750896446872503,0.7489761164644733,0.9647361224517226,10
0.6765829999999999,gbtree,multi:softprob,9,0.11235009919852017,0.7686785551952198,0.8248052783310413,10
0.671952,gbtree,multi:softprob,3,0.27478494357084854,0.7317318652989342,0.8355929905548691,7
0.6997059999999999,gbtree,multi:softprob,9,0.10665638267295434,0.7102206004085019,0.6773851891048253,0
0.698682,gbtree,multi:softprob,6,0.2675359214353375,0.8428062667371705,0.7491861086338758,1
0.680596,gbtree,multi:softprob,6,0.2685338490805589,0.7140509665012359,0.904120715521276,9
0.694043,gbtree,multi:softprob,6,0.12354467531200497,0.9299602125538513,0.8774857851676643,5
0.681253,gbtree,multi:softprob,6,0.05357066098600626,0.9434893427183851,0.9552272701635957,9
0.700264,gbtree,multi:softprob,9,0.05607340050162747,0.8368123661726713,0.9800798915326595,5
0.711079,gbtree,multi:softprob,5,0.061911463853903115,0.8157786209601908,0.8273454272188246,0
0.686796,gbtree,multi:softprob,4,0.07088283131830393,0.8384934393456205,0.7111258115619421,7
0.695527,gbtree,multi:softprob,5,0.10425186781678347,0.8153448555152862,0.9940461024641991,6
0.695558,gbtree,multi:softprob,6,0.08261425722390413,0.7883985616266727,0.7225365082733333,4
0.694795,gbtree,multi:softprob,7,0.08164812367875128,0.7663803807459771,0.9555589174851775,2
0.694373,gbtree,multi:softprob,6,0.11735747975297271,0.9694726303219795,0.8733296738937497,7
0.597819,gbtree,multi:softprob,5,0.010275774544570595,0.8726752957561985,0.6048171158879995,4
0.690932,gbtree,multi:softprob,8,0.08262182246660812,0.813511814805679,0.9125371050089598,9
0.684699,gbtree,multi:softprob,10,0.12938962106825783,0.7928130316780879,0.8200577219948173,9
0.69784,gbtree,multi:softprob,4,0.13983111863723025,0.8642219594214111,0.7475011995993555,4
0.680175,gbtree,multi:softprob,4,0.18730942042078821,0.9575308176223188,0.6105125948786735,9
0.693161,gbtree,multi:softprob,8,0.13674956773174926,0.9714149576378986,0.9009612614288927,7
